permit_number,geocode,permit_issued_date,address,dwellings,permit_type,description,city
MB150009234,04220018201220000,2015-08-26,4732 LOIS LANE,1,New Construction,New construction of a single family residence w/ attached garage,MISSOULA
MB150009097,04219928301030000,2015-09-02,10450 UPLAND TRAIL,1,New Construction,NEW SFR W/ATTACHED GARAGE APPROX 4600,MISSOULA
MB150009097,04219928301030000,2015-09-02,10450 UPLAND TRAIL,1,New Construction,NEW SFR W/ATTACHED GARAGE APPROX 4600,MISSOULA
MB15020137,04220024116100000,2015-09-02,343 SPEEDWAY AVE,1,New Construction,NEW SFR,MISSOULA
MB15020405,04209225103020000,2015-09-22,10133 ORAL ZUMWALT WAY,1,New Construction,NEW SFR WITH ATTACHED GARAGE,MISSOULA
MB150008860,04220024207140000,2015-10-01,270 BROKEN TOP,???,New Construction,New Multifamily.  State approach permits issued.,MISSOULA
MB15020514,04242718101200000,2015-10-02,30703 ELK MOUNTAIN LN,1,New Construction,NEW 1ST FLOOR BARN 2ND FLOOR SFR,HUSON
MB150009571,04209318202120000,2015-10-08,7020 SUNCREST CT,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB15020110,04219905103140000,2015-10-08,11048 BRUIN LN,1,New Construction,"NEW SFR
",MISSOULA
MB15020410,04219913203130000,2015-10-13,5870 LARIAT LOOP,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB15020508,04219927103130000,2015-10-15,8236 KINGFISHER PL,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150009419,04219927103090000,2015-10-26,8223 KINGFISHER PL,1,New Construction,NEW SF RES/ATT GARAGE,MISSOULA
MB15020392,04209608101010000,2015-10-30,26358 W ASHBY CREEK RD,1,New Construction,NEW SFR,BONNER
MB15020450,04220024138120000,2015-11-02,919 CHEYENNE LN,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB15020117,04209225201030000,2015-11-05,3791 TRAILS END RD,1,New Construction,NEW DETACHED GARAGE 540 SF,MISSOULA
MB15020708,04219909301230000,2015-11-05,2617 ROYAL WULFF CT,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB15020906,04220326101050000,2015-11-05,29066 AILPORT LN,1,New Construction,NEW DETACHED GARAGE (5 STORAGE SHEDS UNDER 200 SF) NO PERMIT REQUIRED,BONNER
MB15020987,04219909301140000,2015-11-16,10228 ROYAL COACHMAN DR,1,New Construction,NEW SFR,MISSOULA
MB15020912,04232519101280000,2015-11-18,9505 PLATINUM CT,1,New Construction,NEW SFR,MISSOULA
MB15020834,04232521203220000,2015-11-24,9537 MAHLUM LN,1,New Construction,NEW SFR,MISSOULA
MB15020674,04209201306150000,2015-12-08,3941 FOX DEN CT,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
