Address,DevType,Zoning,Dwellings,SqFt,DUAC
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
4100 MULLAN RD,BNMRB,B2-2,24,,
3850 RESERVE ST UNIT 130,BNCSC,C1-4,4,,
2005 W CENTRAL AVE,BNMRB,C2-4,18,,
950 MOUNT AVE,BNMRB,RM1-35,13,,
950 MOUNT AVE,BNMRB,RM1-35,13,,
1755 S 3RD ST W,BNMRA,RM1-45,4,,
1745 S 3RD ST W,BNMRA,RM1-45,4,,
1725 S 3RD ST W,BNMRB,RM1-45,6,,
1725 S 3RD ST W,BNMRB,RM1-45,6,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,,
2875 LATIMER ST,BNMRB,M1R-2,18,,
2885 LATIMER ST,BNMRB,M1R-2,21,,
432 W SPRUCE ST,BNCON,B2-2,4,,
1840 S 5TH ST W,BNMRA,RM1-45,3,,
1936 S 5TH ST W,BNMRA,RM1-45,4,,
1137 MONTANA ST,BNMRB,MILL SITE S.D.,26,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,,
