geocode,dwellings,zoning,geometry,acres,duac
04220008202110000,90,NRBC Special District,,2.182768914485639,41.0
04220029465130000,57,C1-4,,1.4603773479368425,39.0
04220016101310000,4,RM1-45,,0.10314409670966282,38.0
04220021340287100,10,M1R-2,,0.275354116072434,36.0
04220006101920000,8,WINDSOR PARK SPECIAL DISTRICT,,0.24468983991614462,32.0
04220006108130000,2,WINDSOR PARK SPECIAL DISTRICT,,0.0633320343491042,31.0
04220006108140000,2,WINDSOR PARK SPECIAL DISTRICT,,0.0633320343491042,31.0
04220006101930000,8,WINDSOR PARK SPECIAL DISTRICT,,0.2962055543809739,27.0
04220020424190000,96,C2-4,,3.7964209399540203,25.0
04220007326020000,2,RT10,,0.07840772861534501,25.0
04220007326050000,2,RT10,,0.07947948030005718,25.0
04220007326060000,2,RT10,,0.07865990734699664,25.0
04220006108180000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08651352148962445,23.0
04220006108220000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08646648496708444,23.0
04220006108300000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08651940252172888,23.0
04220006108330000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08650014073131013,23.0
04220006108370000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08651352144606715,23.0
04220006208060000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08440158588551139,23.0
04220006208090000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08436612628493492,23.0
04220006208100000,2,WINDSOR PARK SPECIAL DISTRICT,,0.08439752106464068,23.0
04220029248430000,2,RM2.7,,0.0853696856908332,23.0
04220007326010000,2,RT10,,0.09381015705229384,21.0
04220029472900000,4,RM1-45,,0.19379259309454172,20.0
04220021436080000,3,RT2.7,,0.1490451074148203,20.0
04220029371190000,4,RM2.7,,0.21820901785802033,18.0
04220018206050000,2,HELLGATE SPECIAL DISTRICT,,0.10985440389311411,18.0
04220006101910000,4,WINDSOR PARK SPECIAL DISTRICT,,0.2764347639010086,14.0
04219912203160000,2,44 RANCH SPECIAL Z.D.,,0.15022379315221204,13.0
04220014310120000,2,RT10,,0.35705834336286935,5.0
04220018202077724,18,B2-2,,5.327818208037743,3.0
04220022209067001,2,CBD-4,,0.7068182677182978,2.0
04219901101460000,9,M1R-2,,7.0137901279264,1.0
04220018401160000,2,M1-2,,1.3051830110389795,1.0
04220021204050000,4,MILL SITE S.D.,,15.297673829754931,0.0
04220018202077000,3,B2-2,,5.327818208037743,0.0
04220014104080000,2,RT10,,2.9409124659471275,0.0
