geocode,dwellings,zoning,geometry,acres,duac
04220028204080000,13,RM1-35,,0.16268269270226854,79.0
04220021204140000,26,MILL SITE S.D.,,0.5632020046922332,46.0
04220020418110000,60,C1-4,,1.3755523825661529,43.0
04220029318200000,18,C2-4,,0.4137404135833389,43.0
04220017213020000,39,M1R-2,,0.998335833780512,39.0
04220020411230000,4,RM1-45,,0.1192665861103384,33.0
04220015303010000,3,M1R-2,,0.08944741601235816,33.0
04220017213020000,39,M1R-2,,1.4980812976409965,26.0
04220021144037000,4,B2-2,,0.16383309356833803,24.0
04220020412230000,3,RM1-45,,0.12753945283791518,23.0
04220029357160000,2,RM2.7,,0.1433278796148674,13.0
04220029368120000,2,RM2.7,,0.1576383576665546,12.0
04220021204227145,21,MILL SITE S.D.,,2.7336017693201775,7.0
04220021204227235,17,MILL SITE S.D.,,2.7336017693201775,6.0
04220018202077512,24,B2-2,,5.327818208037743,4.0
04220020418050000,6,RM1-45,,1.3755523825661529,4.0
04220020418070000,6,RM1-45,,1.3755523825661529,4.0
04220032301700000,4,C1-4,,0.9675672991284187,4.0
04220020418010000,4,RM1-45,,1.3755523825661529,2.0
04220020418030000,4,RM1-45,,1.3755523825661529,2.0
