Address,DevType,Zoning,Dwellings,SqFt,DUAC
4963 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,0.307603858442,13.0
4947 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,0.30970259856,12.0
4955 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,0.327022853016,12.0
4947 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,0.30970259856,12.0
4955 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,0.327022853016,12.0
825 CHARLO ST,BNMRA,RM1-45,4,0.412211911143,9.0
825 CHARLO ST,BNMRA,RM1-45,4,0.412211911143,9.0
813 CHARLO ST,BNMRA,RM1-45,4,0.412211911143,9.0
819 CHARLO ST,BNMRA,RM1-45,4,0.412211911143,9.0
1940 TRAIL ST UNIT E,BNMRB,RM2.7,8,3.3631164341,2.0
1500 S 14TH ST W,None,M1R-2,63,,
1500 S 14TH ST W,None,M1R-2,63,,
1500 S 14TH ST W,None,M1R-2,63,,
2241 S 3RD ST W,BNMRB,SD2,6,,
2241 S 3RD ST W,BNMRB,SD2,6,,
909 CHARLO ST,BNMRA,RM1-45,4,,
630 N 5TH ST W,None,RM1-45,9,,
2550 GREAT NORTHERN AVE,BNMRB,M1R-2,36,,
1269 DAKOTA ST,None,M1R-2,3,,
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,,
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,,
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,,
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,,
3800 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,39,,
1347 DAKOTA ST,BNMRB,M1R-2,8,,
2259 S 3RD ST W,BNMRA,SD2,4,,
2253 S 3RD ST W,BNMRA,SD2,4,,
2247 S 3RD ST W,BNMRA,SD2,4,,
4963 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,,
2233 SOUTH AVE W,BNMRA,C1-4,4,,
748 W SUSSEX AVE,BNMRA,RM1-35,3,,
744 W SUSSEX AVE,BNMRA,RM1-35,3,,
740 W SUSSEX AVE,BNMRA,RM1-35,3,,
4015 RUSSELL ST,BNMRB,RM1-35,22,,
4015 RUSSELL ST,BNMRB,RM1-35,22,,
2245 SOUTH AVE W,BNMRA,C1-4,4,,
4931 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,,
4939 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,,
4947 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,,
4955 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,,
4931 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,,
4939 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,,
4947 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,,
4955 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,,
4963 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,,
2210 BOW ST,BNMRB,RM1-45,6,,
1936 S 8TH ST W,BNMRA,RM1-45,3,,
1940 S 8TH ST W,BNMRA,RM1-45,3,,
1940 TRAIL ST UNIT E,BNMRB,RM2.7,8,,
1410 WORDEN AVE,BNMRB,RM1-45,14,,
825 CHARLO ST,BNMRA,RM1-45,4,,
825 CHARLO ST,BNMRA,RM1-45,4,,
831 CHARLO ST,BNMRA,RM1-45,4,,
831 CHARLO ST,BNMRA,RM1-45,4,,
813 CHARLO ST,BNMRA,RM1-45,4,,
819 CHARLO ST,BNMRA,RM1-45,4,,
2305 MOUNT AVE,BNMRA,RM2.7,4,,
2305 MOUNT AVE,BNMRA,RM2.7,4,,
