Address,DevType,Zoning,Dwellings,SqFt,DUAC
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,0.260548987861,138.0
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,0.260548987861,138.0
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,0.260548987861,138.0
3840 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,36,0.260548987861,138.0
1500 S 14TH ST W,None,M1R-2,63,0.540996318824,116.0
1500 S 14TH ST W,None,M1R-2,63,0.540996318824,116.0
1500 S 14TH ST W,None,M1R-2,63,0.540996318824,116.0
2233 SOUTH AVE W,BNMRA,C1-4,4,0.0730428151075,54.0
2245 SOUTH AVE W,BNMRA,C1-4,4,0.0729551039555,54.0
3800 O'LEARY ST,BNMRB,HELLGATE SPECIAL DISTRICT,39,0.725231786536,53.0
4015 RUSSELL ST,BNMRB,RM1-35,22,0.413684098271,53.0
4015 RUSSELL ST,BNMRB,RM1-35,22,0.413684098271,53.0
909 CHARLO ST,BNMRA,RM1-45,4,0.0966966972031,41.0
630 N 5TH ST W,None,RM1-45,9,0.222853347335,40.0
2550 GREAT NORTHERN AVE,BNMRB,M1R-2,36,0.879423440963,40.0
1936 S 8TH ST W,BNMRA,RM1-45,3,0.0740227551671,40.0
1269 DAKOTA ST,None,M1R-2,3,0.0756966440125,39.0
1940 S 8TH ST W,BNMRA,RM1-45,3,0.075041266565,39.0
831 CHARLO ST,BNMRA,RM1-45,4,0.106442324652,37.0
831 CHARLO ST,BNMRA,RM1-45,4,0.106442324652,37.0
748 W SUSSEX AVE,BNMRA,RM1-35,3,0.0825139810274,36.0
744 W SUSSEX AVE,BNMRA,RM1-35,3,0.0825468246092,36.0
740 W SUSSEX AVE,BNMRA,RM1-35,3,0.0825430323653,36.0
2210 BOW ST,BNMRB,RM1-45,6,0.16647773721,36.0
1347 DAKOTA ST,BNMRB,M1R-2,8,0.293515917608,27.0
1410 WORDEN AVE,BNMRB,RM1-45,14,0.611951226197,22.0
2305 MOUNT AVE,BNMRA,RM2.7,4,0.229319551554,17.0
2305 MOUNT AVE,BNMRA,RM2.7,4,0.229319551554,17.0
2241 S 3RD ST W,BNMRB,SD2,6,0.38984632405,15.0
2241 S 3RD ST W,BNMRB,SD2,6,0.38984632405,15.0
2247 S 3RD ST W,BNMRA,SD2,4,0.274520079312,14.0
2259 S 3RD ST W,BNMRA,SD2,4,0.302796668101,13.0
2253 S 3RD ST W,BNMRA,SD2,4,0.302796668101,13.0
4963 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,0.307603858442,13.0
4931 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,0.293034969514,13.0
4939 POTTER PARK LOOP,BNMRA,WINDSOR PARK SPECIAL DISTRICT,4,0.286752489576,13.0
4931 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,0.293034969514,13.0
4939 POTTER PARK LOOP,BNCON,WINDSOR PARK SPECIAL DISTRICT,4,0.286752489576,13.0
